ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1945532705099153741,RTErdogan,RT @tcbestepe: Türkiye ile Birleşik Arap Emirlikleri Arasında 7 Anlaşma İmzalandı https://t.co/BSssKBQMGs,Wed Jul 16 17:15:17 +0000 2025,0,238,0,https://twitter.com/RTErdogan/status/1945532705099153741
1945453741215256696,RTErdogan,Birleşik Arap Emirlikleri Devlet Başkanı Şeyh Muhammed Bin Zayed El Nahyan’ı Resmî Karşılama Töreni https://t.co/Ja12oSCt0i,Wed Jul 16 12:01:31 +0000 2025,5350,1536,756,https://twitter.com/RTErdogan/status/1945453741215256696
1945209550186881202,RTErdogan,Cumhurbaşkanlığı Külliyemizde “En Uzun Gece” destanının ilk temsili… 🇹🇷 https://t.co/S2ckSfLe74,Tue Jul 15 19:51:11 +0000 2025,11041,2783,1978,https://twitter.com/RTErdogan/status/1945209550186881202
1945204218249310718,RTErdogan,"Milletin kendilerine emanet ettiği silahlarla şehitlerimizi ailelerinden ve bizden koparan FETÖ’cü alçaklar ne yaparlarsa yapsınlar, sonsuza kadar lanetle, nefretle hatırlanacaklar. https://t.co/uB3bUiXOaH",Tue Jul 15 19:30:00 +0000 2025,11296,3610,735,https://twitter.com/RTErdogan/status/1945204218249310718
1945196668313374916,RTErdogan,"FETÖ’yle mücadelemiz hız kesmeden aynı kararlılıkla devam edecek. Toprağa düşen kahramanların kanını asla yerde bırakmayacağız.

Devletine ihanet edenler, milletine kurşun sıkanlar, ruhunu 1 dolara satan alçaklar bunun bedelini mutlaka ödeyecekler.                                

Gevşemeden, rehavete kapılmadan, hata yapmadan, sulandırmadan, masumla mücrimin tefrikini çok iyi yaparak bu hain örgütü ülkemiz için bir tehdit unsuru olmaktan inşallah çıkartacağız.

Bunun için tedbiri ve teyakkuzu asla elden bırakmayacağız.",Tue Jul 15 19:00:00 +0000 2025,13502,3746,1011,https://twitter.com/RTErdogan/status/1945196668313374916
1945189802543849682,RTErdogan,"51 vatan evladının; her biri bu ülkeye, bu bayrağa sevdalı 51 kardeşimizin şehit edildiği Özel Harekât Daire Başkanlığımız…

Selam olsun bu milletin akıncı beylerine, can feda olsun kahraman polisin Özel Harekât erlerine. 🇹🇷 https://t.co/l4z2h4K9DC",Tue Jul 15 18:32:43 +0000 2025,9890,2939,300,https://twitter.com/RTErdogan/status/1945189802543849682
1945153954473496868,RTErdogan,"15 Temmuz Demokrasi ve Millî Birlik Günü Anma Programı

📌 Gölbaşı Özel Harekât Başkanlığı https://t.co/9w7trKdUE8",Tue Jul 15 16:10:16 +0000 2025,12034,3858,745,https://twitter.com/RTErdogan/status/1945153954473496868
1945140044790219062,RTErdogan,"Darbeye alkış tutanlar, 15 Temmuz’da yazılan şanlı destana gölge düşürmeye çalışanlar, milletin zaferine çamur atanlar ve gidişata göre pozisyon alanlar, emin olun, daima utançla anılacaklardır. https://t.co/LAKcdYYke8",Tue Jul 15 15:15:00 +0000 2025,10236,3630,806,https://twitter.com/RTErdogan/status/1945140044790219062
1945136280234340523,RTErdogan,"Şehitlerimizin fedakârlıkları asla boşa gitmedi ve gitmeyecek.

Gazilerimizin mücadeleleri asla boşa gitmedi ve gitmeyecek.

Adım adım inşa ettiğimiz Terörsüz Türkiye, inşallah onların eseri olacak.                                                                                  

Ülkemiz, yarım asırlık terör boyunduruğundan kurtuldukça her alanda şahlanışa geçecek; ekonomide, savunmada, kalkınmada, güvenlikte, iç ve dış politikada yepyeni bir dönem başlayacak.

Terörsüz Türkiye, terörsüz bölgeye giden sürecin kilidini açacak.

Türkiye Yüzyılı’nın inşası daha da hızlanacak.

Çok kutuplu dünyada Türkiye’miz yeni bir kutupbaşı olarak inşallah hak ettiği yeri alacak.

Bundan asla ve asla şüphe duymuyoruz.

Çünkü biz milletimize güveniyoruz.

Ezelî ve ebedî kardeşliğimize güveniyoruz.

Demokrasimizin sorun çözme kapasitesine sonuna kadar güveniyoruz.

Türkiye Büyük Millet Meclisinin, tıpkı 15 Temmuz gecesi olduğu gibi tüm farklılıkları bir yana bırakıp dayanışma içinde ülkemizin terörden kurtulma mücadelesine de güçlü destek vereceğine yürekten inanıyorum.",Tue Jul 15 15:00:02 +0000 2025,16161,4113,1452,https://twitter.com/RTErdogan/status/1945136280234340523
1945128721847087563,RTErdogan,"Son nefesini on bin kilometre ötede vatansız olarak verdikten sonra tam da cibilliyetine yakışır şekilde bir çukura atılan FETÖ elebaşının kurduğu tuzak, 15 Temmuz gecesi milletimizin dik duruşuyla, cesur duruşuyla, kahramanca direnişiyle darmadağın olmuştur.                     

FETÖ’cülerin ülkemizi sürüklemek istediği kirli bataklık, o gece sabaha kadar verilen kararlı mücadeleyle ebediyen kurutulmuştur.

Milletimiz göğsünü kurşunlara siper ederek sadece hain darbeyi boşa çıkarmakla kalmamış, aynı zamanda bir işgal girişimini de püskürtmüştür.",Tue Jul 15 14:30:00 +0000 2025,21296,5389,1070,https://twitter.com/RTErdogan/status/1945128721847087563
1945121175837007943,RTErdogan,"15 Temmuz destanı çıplak ellerin tanklara, uçaklara, bombalara karşı zaferidir.

Kökü bu topraklarda olan cesur insanların, ruhuyla birlikte vatanını da satan mankurtlara galip gelişidir.

Bu destan, milletçe bir ve beraber olduğumuzda yenilmez olduğumuzun en son örneğidir. 🇹🇷 https://t.co/qh3kz5sd6p",Tue Jul 15 14:00:01 +0000 2025,11235,3536,533,https://twitter.com/RTErdogan/status/1945121175837007943
1945109878663430425,RTErdogan,"Milletimizin Çanakkale ve Millî Mücadele’den sonra canıyla, kanıyla, bütün varlığıyla yazdığı, kıyamete kadar iftiharla anılacak şanlı bir destan olan 15 Temmuz’un 9’uncu yıl dönümünde, gövdesini siper edip o hayâsız akını durduran tüm şehitlerimizi rahmetle yâd ediyorum. 🇹🇷     

O gece canını ortaya koyarak vatanına, devletine, ezanına, bayrağına sahip çıkan tüm gazilerimize teşekkürlerimi sunuyorum.

Darbe girişiminin ilk anlarından itibaren sokakları, caddeleri, meydanları dolduran, havalimanlarına akın eden, geleceğine ve iradesine sahip çıkan, zilleti esaret, şehadeti nimet bilen tüm vatandaşlarıma şükran duygularımı ifade ediyorum.

O gece eli yüreğinde bizler için dua eden, nerede olursa olsun tepkisini güçlü bir şekilde ortaya koyan yurt dışındaki 7 milyon vatandaşımıza… 

Gönül coğrafyamızın dört bir tarafında bize destek olan, Türkiye ve Türk milleti için kaygılanan dost ve kardeşlerimize de minnettarlığımı iletiyorum.",Tue Jul 15 13:15:08 +0000 2025,16571,5448,742,https://twitter.com/RTErdogan/status/1945109878663430425
1945096489195237394,RTErdogan,"15 Temmuz Demokrasi ve Millî Birlik Günü Anma Programı

📌 Türkiye Büyük Millet Meclisi https://t.co/pukGzermyF",Tue Jul 15 12:21:55 +0000 2025,9186,3369,642,https://twitter.com/RTErdogan/status/1945096489195237394
1944469375681188298,RTErdogan,"Artık asıl büyük sıçramayı, asıl büyük atılımı gerçekleştirme vaktidir.

Şimdi ülke ve milletçe hakkımız olanı alma, Türkiye Yüzyılı’nı yükseltme vaktidir. https://t.co/Vdql7Xdy7Z",Sun Jul 13 18:50:00 +0000 2025,18864,5558,3105,https://twitter.com/RTErdogan/status/1944469375681188298
1944459309695549891,RTErdogan,"Bizim dünkü kardeşlik manifestomuz bir insanı niye rahatsız eder?

Türkler, Kürtler ve Arapların kucaklaşmasından, tarihte olduğu gibi bugün de ittifak kurmasından bu ülkenin bir evladı niçin rahatsız olur?
 
Bizi ümmetçilik yapmakla suçlayanlara sadece şunu söylüyorum:          

Türk milletindeniz, Hazreti Muhammed’in ümmetindeniz.
 
Biz sadece bugün değil, kalubeladan beri ümmetin sevdalısıyız, Fahri Kâinat Efendimizin âşığıyız.
 
Müslümanlar arasındaki tefrikanın, ayrılığın, gayrılığın son bulmasını savunmak utanılacak bir suç değil, şeref duyulacak imani bir duruştur.

Biz bundan onur duyuyoruz, iftihar ediyoruz. 

Rabb’im bizlere son nefesimize kadar milletimizle birlikte tüm Müslümanlar için, İslam ümmeti için, hatta tüm insanlık için çalışmayı nasip eylesin.

Peki, CHP’nin başındaki zat, sen ne yapacaksın? 

Ülkeni şikâyet ettiğin Batılı patronlarının kılıcını kuşanıp Türkler, Kürtler, Araplar arasında fitne mi yayacaksın?

Nefreti mi körükleyeceksin, kavgayı mı büyüteceksin?

Tam olarak ne yapacaksın?

Ne diyelim? Cenab-ı Allah bunlara akıl, izan ve basiret versin.",Sun Jul 13 18:10:00 +0000 2025,21232,5515,3650,https://twitter.com/RTErdogan/status/1944459309695549891
1944445591422988545,RTErdogan,"CHP’nin ve başındaki karikatür tipin tüm çırpınışlarına rağmen kendilerini ciddiye almayışımızın sebebi budur.

Bizim muhatabımız kuklalar değil, onları istedikleri gibi parmaklarında oynatan kuklacılardır.",Sun Jul 13 17:15:29 +0000 2025,12536,3991,1878,https://twitter.com/RTErdogan/status/1944445591422988545
